 format: day,hour,forecast,value  location:54_126 Start : 20200801 
 3,1100,+22,70.000000 
 3,1100,+28,70.000000 
 3,1100,+34,40.000000 
 3,1100,+40,100.000000 
 3,1100,+46,100.000000 
 3,1100,+52,40.000000 
 3,1400,+7,70.000000 
 3,1400,+13,70.000000 
 3,1400,+19,70.000000 
 3,1400,+25,70.000000 
 3,1400,+31,70.000000 
 3,1400,+37,100.000000 
 3,1400,+43,100.000000 
 3,1400,+49,40.000000 
 3,1700,+4,20.000000 
 3,1700,+10,70.000000 
 3,1700,+16,70.000000 
 3,1700,+22,70.000000 
 3,1700,+28,70.000000 
 3,1700,+34,100.000000 
 3,1700,+40,100.000000 
 3,1700,+46,40.000000 
 3,2000,+7,70.000000 
 3,2000,+13,70.000000 
 3,2000,+19,70.000000 
 3,2000,+25,70.000000 
 3,2000,+31,100.000000 
 3,2000,+37,100.000000 
 3,2000,+43,40.000000 
 3,2000,+49,20.000000 
 3,2000,+55,40.000000 
 3,2000,+61,20.000000 
 3,2000,+67,70.000000 
 3,2300,+4,70.000000 
 3,2300,+10,70.000000 
 3,2300,+16,70.000000 
 3,2300,+22,70.000000 
 3,2300,+28,100.000000 
 3,2300,+34,100.000000 
 3,2300,+40,40.000000 
 3,2300,+46,20.000000 
 3,2300,+52,40.000000 
 3,2300,+58,20.000000 
 3,2300,+64,70.000000 
 4,0200,+7,70.000000 
 4,0200,+13,70.000000 
 4,0200,+19,70.000000 
 4,0200,+25,100.000000 
 4,0200,+31,100.000000 
 4,0200,+37,40.000000 
 4,0200,+43,20.000000 
 4,0200,+49,40.000000 
 4,0200,+55,20.000000 
 4,0200,+61,70.000000 
 4,0500,+4,70.000000 
 4,0500,+10,70.000000 
 4,0500,+16,70.000000 
 4,0500,+22,100.000000 
 4,0500,+28,100.000000 
 4,0500,+34,40.000000 
 4,0500,+40,20.000000 
 4,0500,+46,40.000000 
 4,0500,+52,20.000000 
 4,0500,+58,70.000000 
 4,0800,+7,100.000000 
 4,0800,+13,100.000000 
 4,0800,+19,100.000000 
 4,0800,+25,100.000000 
 4,0800,+31,40.000000 
 4,0800,+37,20.000000 
 4,0800,+43,40.000000 
 4,0800,+49,20.000000 
 4,0800,+55,70.000000 
 4,1100,+4,100.000000 
 4,1100,+10,100.000000 
 4,1100,+16,100.000000 
 4,1100,+22,100.000000 
 4,1100,+28,40.000000 
